
Rk,Score,PtsW,PtsL,PtTot,PtDif,Count,Last Game (year-gm#)
454,34-3,34,3,37,31,27,2014-16
455,34-5,34,5,39,29,1,1978-18
456,34-6,34,6,40,28,6,2015-15
457,34-7,34,7,41,27,60,2014-07
458,34-8,34,8,42,26,1,1996-11
459,34-9,34,9,43,25,7,2014-11
460,34-10,34,10,44,24,39,2013-08
461,34-11,34,11,45,23,1,1998-11
462,34-12,34,12,46,22,6,2012-15
463,34-13,34,13,47,21,36,2012-14
464,34-14,34,14,48,20,55,2015-14
465,34-15,34,15,49,19,5,2014-03
466,34-16,34,16,50,18,16,2010-12
467,34-17,34,17,51,17,55,2014-13
468,34-18,34,18,52,16,3,2012-12
469,34-19,34,19,53,15,8,2011-12
470,34-20,34,20,54,14,41,2015-12
471,34-21,34,21,55,13,42,2015-06
472,34-22,34,22,56,12,2,2013-07
473,34-23,34,23,57,11,12,2015-16
474,34-24,34,24,58,10,55,2013-15
475,34-25,34,25,59,9,4,2005-07
476,34-26,34,26,60,8,6,2014-16
477,34-27,34,27,61,7,45,2015-14
478,34-28,34,28,62,6,35,2015-08
479,34-29,34,29,63,5,5,2011-04
480,34-30,34,30,64,4,8,2013-03
481,34-31,34,31,65,3,60,2015-10
482,34-32,34,32,66,2,2,2008-03
483,34-33,34,33,67,1,11,2014-12
484,34-34,34,34,68,0,2,2002-09
485,35-0,35,0,35,35,23,2009-04
486,35-2,35,2,37,33,1,1949-09
487,35-3,35,3,38,32,18,2010-10
488,35-6,35,6,41,29,7,2015-13
489,35-7,35,7,42,28,48,2011-12
490,35-8,35,8,43,27,3,2011-10
491,35-9,35,9,44,26,8,2012-06
492,35-10,35,10,45,25,18,2013-05
493,35-11,35,11,46,24,1,2013-04
494,35-12,35,12,47,23,4,1999-12
495,35-13,35,13,48,22,20,2012-02
496,35-14,35,14,49,21,48,2014-01
497,35-15,35,15,50,20,5,1994-08
498,35-16,35,16,51,19,9,2008-10
499,35-17,35,17,52,18,41,2013-07
500,35-18,35,18,53,17,2,2015-17
Rk,Score,PtsW,PtsL,PtTot,PtDif,Count,Last Game (year-gm#)
501,35-19,35,19,54,16,5,2013-06
502,35-20,35,20,55,15,18,2005-15
503,35-21,35,21,56,14,38,2014-07
504,35-22,35,22,57,13,3,2008-11
505,35-23,35,23,58,12,11,1995-15
506,35-24,35,24,59,11,25,2012-06
507,35-25,35,25,60,10,3,2015-14
508,35-26,35,26,61,9,5,2011-10
509,35-27,35,27,62,8,17,2015-14
510,35-28,35,28,63,7,22,2015-12
511,35-30,35,30,65,5,7,2015-16
512,35-31,35,31,66,4,18,2014-17
513,35-32,35,32,67,3,6,2014-12
514,35-33,35,33,68,2,5,2015-03
515,35-34,35,34,69,1,7,2012-07
516,35-35,35,35,70,0,5,1974-02
517,36-0,36,0,36,36,7,2005-07
518,36-3,36,3,39,33,1,2001-09
519,36-6,36,6,42,30,4,2015-16
520,36-7,36,7,43,29,7,2015-07
